title,year,budget,revenue,runtime,vote_count,vote_average,popularity,wr,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Peter Pan,1953,4000000,87404651.0,77.0,1380,7,16.861532999999998,6.580091030752165,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
Dirty Dancing,1987,6000000,213954274.0,100.0,1371,7,14.044122,6.577997301819627,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
Lilo & Stitch,2002,80000000,145771527.0,85.0,1371,7,18.469238,6.577997301819627,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Lethal Weapon,1987,15000000,120207127.0,110.0,1367,7,13.183804,6.577060038747598,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Lord of War,2005,42000000,24127895.0,122.0,1356,7,8.745216000000001,6.574460966360014,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Lucky Number Slevin,2006,27000000,56308881.0,110.0,1356,7,11.15092,6.574460966360014,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
Blow,2001,53000000,83282296.0,124.0,1352,7,12.332222999999999,6.5735079114134525,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Moulin Rouge!,2001,52500000,179213434.0,127.0,1348,7,13.691781,6.572550577881271,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
Casino,1995,52000000,116112375.0,178.0,1343,7,10.137389,6.571347850188197,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
L.A. Confidential,1997,35000000,126216940.0,138.0,1340,7,10.989442,6.570622959292236,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
Ferris Bueller's Day Off,1986,6000000,70136369.0,103.0,1340,7,12.724644999999999,6.570622959292236,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Contact,1997,90000000,171120329.0,150.0,1338,7,14.374866,6.570138335092791,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
The Vow,2012,30000000,196114570.0,104.0,1328,7,9.524298,6.567698711568914,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Fear and Loathing in Las Vegas,1998,18500000,10680275.0,118.0,1321,7,9.220346000000001,6.565974432925599,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Royal Tenenbaums,2001,21000000,71441250.0,110.0,1317,7,9.707542,6.564982941053356,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Ip Man,2008,11715578,21888598.0,108.0,1309,7,6.004257,6.562986305097203,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Notting Hill,1999,42000000,363889678.0,124.0,1309,7,9.874042999999999,6.562986305097203,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Hell or High Water,2016,12000000,37589296.0,102.0,1304,7,12.565896,6.561729073523836,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Warrior,2011,25000000,23057115.0,140.0,1297,7,13.121626000000001,6.559956747420234,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Serenity,2005,39000000,38869464.0,119.0,1287,7,11.919995,6.5573998429892075,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
The Aristocats,1970,4000000,55675257.0,78.0,1287,7,9.834047,6.5573998429892075,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
50/50,2011,8000000,39187783.0,100.0,1287,7,11.869481,6.5573998429892075,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Snowden,2016,40000000,37279439.0,134.0,1285,7,14.384554,6.556884892253883,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Begin Again,2013,8000000,63464861.0,104.0,1285,7,10.289628,6.556884892253883,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
The Machinist,2004,5000000,8203235.0,101.0,1280,7,10.737565,6.555592257750541,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Finding Neverland,2004,25000000,116766556.0,106.0,1269,7,15.529604,6.552721743854625,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Eyes Wide Shut,1999,65000000,162091208.0,159.0,1266,7,13.268483999999999,6.551932429284957,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Saving Mr. Banks,2013,35000000,112544580.0,125.0,1256,7,15.130888,6.549281141884276,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Apocalypto,2006,40000000,120175290.0,139.0,1252,7,7.735233,6.548211820749956,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
The Fugitive,1993,44000000,368875760.0,130.0,1240,7,10.089369999999999,6.544973195809096,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Platoon,1986,6000000,138530565.0,120.0,1236,7,18.206972,6.54388331124816,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Brooklyn,2015,11000000,62076141.0,111.0,1235,7,7.991613,6.543610023837283,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Life of Brian,1979,4000000,20045115.0,94.0,1230,7,10.714172999999999,6.542238659726217,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mary Poppins,1964,6000000,102272727.0,139.0,1217,7,15.11549,6.538634239724062,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Stardust,2007,70000000,135560026.0,127.0,1215,7,14.784525,6.538074669365935,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
A Nightmare on Elm Street,1984,1800000,25504513.0,91.0,1212,7,13.694713,6.537232764146067,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Sunshine,2007,50000000,32017803.0,107.0,1210,7,12.715571,6.536669786973496,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Fantastic Mr. Fox,2009,40000000,46471023.0,87.0,1206,7,8.695893,6.535539713283186,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Chef,2014,11000000,45967935.0,114.0,1203,7,8.720309,6.534688533771794,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Perfume: The Story of a Murderer,2006,50000000,132180323.0,147.0,1198,7,10.297303999999999,6.533262947171829,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
End of Watch,2012,7000000,48126384.0,109.0,1186,7,7.452789999999999,6.5298056356693985,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Donnie Brasco,1997,35000000,41954997.0,127.0,1175,7,12.201953999999999,6.5265911310033715,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Crash,2004,6500000,98410061.0,112.0,1172,7,9.785147,6.525706805594288,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Robin Hood,1973,15000000,32056467.0,83.0,1155,7,11.179855,6.520632554930413,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Changeling,2008,55000000,113020255.0,141.0,1151,7,11.672394,6.5194227948166725,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Invictus,2009,60000000,122233971.0,134.0,1150,7,9.109838,6.5191194001164305,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Bridge to Terabithia,2007,60000000,137587063.0,96.0,1146,7,8.460206,6.517901980876219,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
"O Brother, Where Art Thou?",2000,26000000,71868327.0,106.0,1144,7,12.434175,6.517290956770866,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Bucket List,2007,45000000,175372502.0,97.0,1138,7,9.070642999999999,6.515448555842511,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Butler,2013,25000000,115922175.0,132.0,1134,7,11.061894,6.51421245521966,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Match Point,2005,15000000,85306374.0,124.0,1134,7,9.020372,6.51421245521966,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
Unforgiven,1992,14000000,159157447.0,131.0,1133,7,10.942149,6.513902444023245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Still Alice,2014,5000000,43884652.0,99.0,1126,7,8.823253,6.511721237041298,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Blue Jasmine,2013,18000000,99206215.0,98.0,1126,7,12.61244,6.511721237041298,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Being John Malkovich,1999,13000000,22863596.0,112.0,1124,7,11.416319,6.511094435034933,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Close Encounters of the Third Kind,1977,20000000,303788635.0,135.0,1122,7,10.610446000000001,6.5104660217123556,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Blue Is the Warmest Color,2013,4300000,10165694.0,179.0,1114,7,4.938148,6.5079361303516965,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Amadeus,1984,18000000,51973029.0,160.0,1107,7,12.677592,6.5057009278289595,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
Airplane!,1980,3500000,83453539.0,88.0,1104,7,13.063203,6.504736755386492,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Road to Perdition,2002,80000000,181001478.0,117.0,1102,7,13.426684,6.504091881370068,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
The Blues Brothers,1980,27000000,115229890.0,133.0,1092,7,10.076901,6.500842155822036,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Identity,2003,30000000,90259536.0,90.0,1090,7,17.955897,6.5001870930344,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
I Origins,2014,0,336472.0,106.0,1089,7,11.901185,6.499858916470404,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Dracula,1992,40000000,215862692.0,128.0,1087,7,16.777675,6.499201268760306,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
Misery,1990,20000000,61276872.0,107.0,1085,7,15.020845000000001,6.498541889259003,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Dances with Wolves,1990,22000000,424208848.0,181.0,1084,7,11.654349,6.49821154794758,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
The Longest Ride,2015,34000000,63013281.0,128.0,1083,7,10.264416,6.497880771116958,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Breakfast at Tiffany's,1961,2500000,9500000.0,110.0,1082,7,10.879289,6.497549557905295,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Mud,2013,10000000,21587700.0,130.0,1080,7,7.8815789999999994,6.49688581888007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Raid,2011,1100000,4105187.0,101.0,1076,7,10.528833,6.495553066082401,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Atonement,2007,30000000,129266061.0,123.0,1075,7,8.913338000000001,6.495218773879673,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The Artist,2011,15000000,133432856.0,100.0,1075,7,11.440947999999999,6.495218773879673,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Office Space,1999,10000000,12827813.0,89.0,1068,7,12.329066000000001,6.492866264836502,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Halloween,1978,300000,70000000.0,91.0,1066,7,13.672759,6.4921900865229505,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
North by Northwest,1959,4000000,13275000.0,136.0,1062,7,12.410427,6.490832306005632,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Downfall,2004,18339750,92180910.0,156.0,1059,7,7.692239999999999,6.4898091961047735,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
A Walk to Remember,2002,11000000,41227069.0,101.0,1057,7,8.054499,6.489124835536168,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Annie Hall,1977,4000000,38251425.0,93.0,1044,7,18.146043,6.484631346268217,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The Fly,1986,15000000,60629159.0,96.0,1038,7,13.534589000000002,6.4825306588209415,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Gone Baby Gone,2007,19000000,34619699.0,113.0,1034,7,6.148516000000001,6.481120660616094,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
The Wrestler,2008,6000000,44703995.0,109.0,1031,7,7.903956,6.480058109067867,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The NeverEnding Story,1984,27000000,20158808.0,102.0,1031,7,14.225919000000001,6.480058109067867,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
Enemy at the Gates,2001,68000000,96976270.0,131.0,1023,7,10.704813,6.477203246248749,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
The Girl with the Dragon Tattoo,2009,13000000,104345682.0,152.0,1020,7,9.858687,6.476124573441833,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
The Naked Gun: From the Files of Police Squad!,1988,12000000,78756177.0,85.0,1020,7,15.698222,6.476124573441833,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Philadelphia,1993,26000000,206678440.0,125.0,1019,7,13.373006,6.475764026004423,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
War Horse,2011,66000000,177584879.0,146.0,1016,7,8.166363,6.474679399851328,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Carol,2015,11800000,40272135.0,118.0,1014,7,8.364201,6.473953818911896,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
P.S. I Love You,2007,30000000,156835339.0,126.0,1011,7,10.304881,6.472861681511713,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
One Day,2011,15000000,59389433.0,107.0,1006,7,11.239011999999999,6.471031340128073,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Goldfinger,1964,2500000,124881062.0,110.0,1005,7,13.788839999999999,6.470663745506897,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Let the Right One In,2008,4000000,10785801.0,115.0,997,7,7.274236999999999,6.46770449321064,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Gone with the Wind,1939,4000000,400176459.0,238.0,995,7,14.240357000000001,6.466959502998199,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
Battle Royale,2000,4500000,25000000.0,114.0,992,7,12.701098,6.465838099428069,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
For a Few Dollars More,1965,600000,15000000.0,132.0,988,7,13.295342000000002,6.46433553430691,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Train to Busan,2016,8820000,2129768.0,118.0,984,7,22.685169,6.462824492090569,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Before Sunrise,1995,2500000,5535405.0,105.0,984,7,11.304979,6.462824492090569,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Kubo and the Two Strings,2016,60000000,69929545.0,102.0,982,7,12.321832,6.46206576962177,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Mad Max 2: The Road Warrior,1981,2000000,24600832.0,95.0,981,7,11.189831,6.461685604087934,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Treasure Planet,2002,140000000,109578115.0,95.0,980,7,16.141913,6.461304900837642,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
The Crow,1994,15000000,94000000.0,102.0,980,7,15.799335999999998,6.461304900837642,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
The Lives of Others,2006,2000000,70000000.0,137.0,977,7,9.02255,6.4601595533553695,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Carrie,1976,1800000,33800000.0,98.0,977,7,9.277692,6.4601595533553695,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
When Harry Met Sally...,1989,16000000,92823546.0,96.0,974,7,8.34322,6.459009325130984,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The Hunt for Red October,1990,30000000,199200000.0,134.0,971,7,15.91126,6.457854184899948,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Raging Bull,1980,18000000,23000000.0,129.0,968,7,8.868558,6.456694101130118,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Sound of Music,1965,8200000,286214286.0,174.0,966,7,9.067730000000001,6.455917949846018,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False
13 Hours: The Secret Soldiers of Benghazi,2016,50000000,69411370.0,144.0,963,7,18.022579,6.454749556037527,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
Me and Earl and the Dying Girl,2015,0,0.0,105.0,962,7,12.503333,6.454358975490276,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Wild,2014,15000000,52501541.0,115.0,961,7,11.209154,6.453967834970914,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Last Song,2010,0,0.0,107.0,959,7,5.541073,6.453183869191978,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
The Birds,1963,2500000,11403529.0,119.0,959,7,11.591462,6.453183869191978,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Planet of the Apes,1968,5800000,33395426.0,112.0,958,7,17.784978,6.4527910415118,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
[REC],2007,1500000,30448000.0,78.0,954,7,8.504511,6.451214070449874,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Ponyo,2008,41677699,187479518.0,100.0,953,7,8.470945,6.450818406477596,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Edge of Seventeen,2016,9000000,18803648.0,104.0,952,7,9.51953,6.450422171561635,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
"Crouching Tiger, Hidden Dragon",2000,17000000,213525736.0,120.0,949,7,19.944952999999998,6.449230028766757,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
As Good as It Gets,1997,50000000,314178011.0,139.0,946,7,9.374049000000001,6.448032702742338,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Hunt,2012,3800000,16800000.0,115.0,946,7,8.462800999999999,6.448032702742338,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Deer Hunter,1978,15000000,50000000.0,183.0,943,7,7.729445,6.446830159611057,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
What's Eating Gilbert Grape,1993,11000000,10032765.0,118.0,943,7,10.3919,6.446830159611057,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21 Grams,2003,20000000,60427839.0,124.0,943,7,6.372278,6.446830159611057,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Chinatown,1974,6000000,30000000.0,130.0,939,7,12.29227,6.445218594162,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
The Lincoln Lawyer,2011,40000000,85412898.0,119.0,923,7,6.807442,6.4386773248227165,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
"South Park: Bigger, Longer & Uncut",1999,21000000,0.0,81.0,916,7,11.818055000000001,6.435766762803278,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Melancholia,2011,7400000,21817298.0,136.0,915,7,8.124767,6.435348502434711,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
The Evil Dead,1981,350000,29400000.0,85.0,913,7,10.421679,6.434510118622439,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
A Fistful of Dollars,1964,200000,14500000.0,99.0,909,7,12.429704,6.4328258598543755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Fracture,2007,0,91354215.0,113.0,908,7,10.113628,6.432403226366935,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Kiss Kiss Bang Bang,2005,15000000,15785148.0,103.0,900,7,11.760539999999999,6.428999347664487,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Paddington,2014,55000000,259207227.0,95.0,899,7,15.686836999999999,6.4285709900858405,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
A Few Good Men,1992,40000000,243240178.0,138.0,899,7,12.330249,6.4285709900858405,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Shame,2011,6500000,17693675.0,100.0,897,7,11.72049,6.427712343940215,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Rosemary's Baby,1968,3200000,33395426.0,136.0,892,7,11.504558,6.425554396519175,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
The Road to El Dorado,2000,95000000,76432727.0,89.0,892,7,8.755188,6.425554396519175,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Fox and the Hound,1981,12000000,29800000.0,82.0,884,7,10.197106,6.42206762502612,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Young Frankenstein,1974,2800000,86273333.0,106.0,880,7,9.339316,6.420308317948574,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wild Tales,2014,0,27007072.0,125.0,878,7,8.764888000000001,6.4194246416039835,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Brazil,1985,15000000,0.0,132.0,877,7,9.837287,6.418981792360355,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Castle in the Sky,1986,0,0.0,124.0,877,7,11.061551,6.418981792360355,True,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
The Darjeeling Limited,2007,16000000,24377151.0,91.0,876,7,6.493474,6.418538267011012,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Spirit: Stallion of the Cimarron,2002,80000000,122563539.0,83.0,870,7,16.724836,6.415862829589283,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Lawrence of Arabia,1962,15000000,69995385.0,216.0,870,7,10.893332000000001,6.415862829589283,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
The Wave,2008,7500000,19000000.0,107.0,870,7,6.010332,6.415862829589283,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Eastern Promises,2007,51500000,55112356.0,100.0,867,7,9.897909,6.414515856867353,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Patch Adams,1998,50000000,202292902.0,115.0,863,7,12.52181,6.412710200296396,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Tucker and Dale vs Evil,2010,5000000,5476793.0,89.0,860,7,6.7718679999999996,6.411348631981782,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
The Founder,2016,25000000,23964782.0,115.0,855,7,17.523343,6.409065267482099,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
The Graduate,1967,3000000,104945305.0,106.0,855,7,12.057829,6.409065267482099,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Ghost in the Shell,1995,0,2287714.0,83.0,854,7,10.686166,6.408606467223933,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Army of Darkness,1992,11000000,0.0,81.0,852,7,10.704612,6.407686726115417,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
3 Idiots,2009,9000000,70000000.0,170.0,850,7,7.6756210000000005,6.406764119769802,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The Boondock Saints,1999,6000000,30471.0,108.0,848,7,12.457908,6.405838634777243,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Inside Llewyn Davis,2013,11000000,32935319.0,105.0,845,7,10.838063,6.40444498028493,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Magnolia,1999,37000000,48451803.0,188.0,844,7,9.091636,6.403978974792195,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Concussion,2015,35000000,50363790.0,123.0,844,7,7.739783,6.403978974792195,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Kung Fu Hustle,2004,20000000,100914445.0,99.0,841,7,8.636632,6.4025765723799415,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Virgin Suicides,1999,6000000,10409377.0,97.0,841,7,10.505386999999999,6.4025765723799415,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Dark City,1998,27000000,27200316.0,100.0,838,7,12.851984,6.401167554861971,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Falling Down,1993,25000000,40903593.0,113.0,837,7,10.175138,6.4006964042363705,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Selma,2014,20000000,66787908.0,127.0,835,7,7.107071,6.399751875322636,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Remember the Titans,2000,30000000,136706683.0,113.0,835,7,6.587725999999999,6.399751875322636,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Reader,2008,32000000,113019290.0,124.0,835,7,7.931732000000001,6.399751875322636,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The Raid 2,2014,4500000,2627209.0,150.0,832,7,8.434884,6.3983294864016,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Fantasia,1940,2280000,83320000.0,124.0,831,7,8.03796,6.397853857537095,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Willy Wonka & the Chocolate Factory,1971,3000000,4000000.0,100.0,826,7,12.416635000000001,6.395464388717798,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
The Abyss,1989,70000000,90000098.0,139.0,822,7,9.809585,6.393539116070403,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
August Rush,2007,25000000,66122026.0,114.0,821,7,8.874048,6.393055880306315,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
Boogie Nights,1997,15000000,43101594.0,155.0,812,7,7.595679,6.388671853759572,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Poltergeist,1982,10700000,122200000.0,114.0,811,7,11.776326,6.388180827136085,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
